Prov,Code_Site,Site_name,District,OverallScore,Sub,Revenue,Revenue_Loss,Day_Down_hour,Night_Down_hour,AC_Power_Downtime_hour,Distance_KM,Access_Time_Minute,Backup_time_Minute,Lat,Long
VTE,VTE0557,VTE0557_XAYSOMBOUN,Xaithani,5,21222,754608107.2,5387264.792,27.4,13.5,39,26,45,30,18.05637,102.75032
VTE,VTE0580,VTE0580_DONHOR,Hatxayfong,5,38044,742907071.5,8128655.672,26.4,28.8,47.2,15,30,20,18.0832,102.93019
VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,122104,1813846492,37240096.63,44.7,6.8,15.5,8,30,180,17.89678,102.63772
VTE,VTE0596,VTE0596_NAHAI2,Hatxayfong,5,47474,879194478.5,5246053.219,17,19.2,35.6,28,60,20,17.87437,102.663
VTE,VTE0599,VTE0599_NATHAM_HADXAYFONG,Hatxayfong,5,24895,792898530.7,4165773.325,13.4,21.9,34.7,31,80,50,17.865396,102.607751
VTE,VTE0609,VTE0609_NONGPHONG,Hatxayfong,5,9992,781949519.6,5258342.856,14,24.6,38.5,7,20,40,17.96253,102.78242
VTE,VTE0671,VTE0671_XOR,Sangthong,5,3427,462839649.3,7239565.456,68.9,56.1,98.4,70,150,150,18.31663,102.10796
VTE,VTE0684,VTE0684_DONHAI,Pak-Ngum,5,129785,1192028725,8278398.492,18.3,26.1,27.8,44,60,120,18.0832,102.93019
VTE,VTE0723,VTE0723_XIENGLEANA,Pak-Ngum,5,18928,429168839.9,8000625.891,23.5,39.3,62.2,80,120,120,18.207281,102.930107
VTE,VTE0751,VTE0751_LOGISTIC_PARK,Hatxayfong,5,41563,660509257.9,4694542.731,19.9,10.1,26.1,21,45,120,17.910265,102.709548
VTP,VTP0015,VTP0015_NONGKHONH,Phonhong,5,74758,538448748.8,4886542.929,44,25.7,58.5,30,60,240,18.3793,102.3885
VTP,VTP0040,VTP0040_BANMAI,Phonhong,5,136752,947909820.9,5347525.895,17.6,16.8,28.4,38,60,15,18.3049,102.4635
VTP,VTP0047,VTP0047_HONGLEUY,Phonhong,5,110054,1099703364,7383686.601,24.1,15.8,33.7,40,45,360,18.3764,102.4261
VTP,VTP0051,VTP0051_BANCHAENG,Thourakhom,5,19119,650373700.3,8969750.065,46.9,40.3,72.6,45,75,0,18.28993,102.55811
VTP,VTP0056,VTP0056_BOUNGPHAO,Thourakhom,5,32037,1214378283,9385781.46,42.5,11.5,48.7,33,50,0,18.3329,102.5467
VTP,VTP0065,VTP0065_KERNTAI,Thourakhom,5,28888,759800564.5,7244453.077,35.7,20.5,46.7,30,45,480,18.3539,102.5725
VTP,VTP0066,VTP0066_LINGXANH,Thourakhom,5,27754,580441181.5,7084769.285,19.2,66.3,37.7,65,150,60,18.3153,102.5561
VTP,VTP0071,VTP0071_NAPEUY,Thourakhom,5,16957,547182683.9,5622235.245,24.9,30,49.8,30,50,60,18.4295,102.6051
VTP,VTP0073,VTP0073_NASANGLEK,Thourakhom,5,48844,728564920.5,6269920.142,32.6,25.5,49.1,33,40,480,18.3614,102.6267
VTP,VTP0083,VTP0083_TANPIEOW,Thourakhom,5,34242,826375090.5,8712740.501,22.5,40.7,41.9,49,120,0,18.2408,102.5901
VTP,VTP0084,VTP0084_VANGHUEA,Thourakhom,5,4121,942572069.2,14177583.8,20,82.3,90.8,78,180,120,18.3594,102.8121
VTP,VTP0101,VTP0101_KHANMARK,Vangvieng,5,15400,563730901.5,11380123.63,38.2,97.5,107.2,12,15,120,18.8701,102.4893
VTP,VTP0102,VTP0102_KIEWKUOANG,Vangvieng,5,2547,207457916.3,5559278.391,87.8,102.6,168.3,45,90,240,19.1202,102.4609
VTP,VTP0120,VTP0120_PHATANG,Vangvieng,5,60604,591632543.2,4507754.152,56.9,40.5,83.2,22,40,240,19.0709,102.4296
VTP,VTP0122,VTP0122_PHONKHAM,Vangvieng,5,19744,411523318.2,5403403.012,38.7,39.8,53.6,16,30,30,18.9032,102.3638
VTP,VTP0123,VTP0123_PHONPHENG,Vangvieng,5,72816,1050517022,9803505.877,26.9,20.9,27.2,4,10,360,18.9307,102.4515
